capital_prestado,plazo_meses,edad_cliente,salario_cliente,total_otros_prestamos,cuota_pactada,puntaje,puntaje_datacredito,huella_consulta,creditos_sectorFinanciero,creditos_sectorCooperativo,creditos_sectorReal,promedio_ingresos_datacredito,ratio_cuota_salario,trimestre_prestamo,total_creditos_sector,edad_atipica,sin_promedio_ingresos,tipo_credito,tipo_laboral,tendencia_ingresos,categoria_riesgo_score,Pago_atiempo,prediccion_proba
14.468336764305663,6,31,14.508658238524095,12.206077645517674,286734,95.227787,811.0,3,1,0,0,14.553153456650733,0.143367,2,1,0,0,4,Empleado,Creciente,riesgo_bajo,1,0.9617622
15.060441968278694,36,47,14.403297778421795,11.918397239722838,112406,95.227787,780.0,1,0,0,0,14.201588952272248,0.062447777777777776,4,0,0,0,4,Empleado,Sin_dato,riesgo_bajo,1,0.94065994
15.195384602891517,36,30,14.151983508870947,12.031725210748633,137290,95.227787,767.0,8,4,0,2,14.02793041545725,0.09806428571428571,3,6,0,0,4,Independiente,Decreciente,riesgo_bajo,1,0.9207527
15.923889470973378,24,42,16.257857680289998,12.100717685412471,361929,69.456282,762.0,5,4,0,1,16.060789216987462,0.03147208695652174,2,5,0,0,4,Empleado,Decreciente,riesgo_bajo,1,0.9540747
14.027295605014364,10,41,14.508658238524095,13.304686600863562,114364,95.227787,768.0,3,5,0,3,14.79779724839793,0.057182,1,8,0,0,4,Empleado,Creciente,riesgo_bajo,1,0.966241
13.866338454070844,6,40,14.220976332738882,13.710151153416941,158161,95.227787,805.0,2,1,1,1,14.001572610373936,0.10544066666666667,2,3,0,1,4,Independiente,Sin_dato,riesgo_bajo,1,0.9674877
13.282236509865955,8,23,15.424948670398354,14.508658238524095,61136,58.597591,711.0,10,4,0,3,13.79861970732888,0.0122272,1,7,0,0,9,Independiente,Estable,riesgo_bajo,0,0.68366545
13.997832948091215,6,39,14.81614280591917,14.077875591662238,182777,95.227787,832.0,6,1,0,1,13.549807827013783,0.06719742647058824,4,2,0,0,4,Empleado,Creciente,riesgo_bajo,1,0.9563432
14.247428160057012,11,55,14.914123179965662,14.731801689838349,120928,95.227787,883.0,6,3,1,1,14.06589488717044,0.040309333333333336,4,5,0,0,9,Independiente,Creciente,riesgo_muy_bajo,1,0.9672221
13.362955414648066,6,37,14.845130332288226,13.815511557963774,94784,53.349091,783.0,2,1,0,0,13.304686600863562,0.033851428571428574,2,1,0,0,4,Independiente,Estable,riesgo_bajo,0,0.766955
13.882198829232324,6,65,15.068273812173887,14.508658238524095,148467,95.227787,806.0,3,4,0,0,15.053831454251936,0.04241914285714286,1,4,0,0,4,Empleado,Creciente,riesgo_bajo,1,0.9672049
14.138846171461688,11,53,15.201805169084134,14.914123179965662,116850,95.227787,823.0,2,0,0,0,13.719579885694309,0.0292125,4,0,0,0,9,Independiente,Estable,riesgo_bajo,1,0.9663322
14.735752752516554,2,41,13.815511557963774,15.315580156457665,993266,78.432586,844.0,3,6,0,1,13.781681762262503,0.993266,3,7,0,0,9,Independiente,Creciente,riesgo_bajo,1,0.9655199
14.288261036163805,2,44,15.201805169084134,14.508658238524095,632417,95.227787,802.0,7,4,1,3,13.727934294183411,0.15810425,1,8,0,0,9,Independiente,Creciente,riesgo_bajo,1,0.95988744
14.396541677690884,12,55,16.118095750958314,15.201805169084134,124158,95.227787,860.0,4,6,0,2,14.49277426131664,0.0124158,1,8,0,0,4,Independiente,Estable,riesgo_muy_bajo,1,0.9672528
14.98364922022622,6,54,15.922567388272407,14.578650576544613,493083,95.227787,769.0,3,2,0,0,13.815511557963774,0.05995659046692607,4,2,0,0,4,Independiente,Estable,riesgo_bajo,1,0.9574783
